filepath,instrument,source,note,octave
FatBoy/acoustic_grand_piano-mp3/A6.mp3,acoustic_grand_piano,FatBoy,A,6
FatBoy/acoustic_grand_piano-mp3/A7.mp3,acoustic_grand_piano,FatBoy,A,7
FatBoy/acoustic_grand_piano-mp3/Ab1.mp3,acoustic_grand_piano,FatBoy,Ab,1
FatBoy/acoustic_grand_piano-mp3/Ab2.mp3,acoustic_grand_piano,FatBoy,Ab,2
FatBoy/acoustic_grand_piano-mp3/Ab3.mp3,acoustic_grand_piano,FatBoy,Ab,3
FatBoy/acoustic_grand_piano-mp3/Ab4.mp3,acoustic_grand_piano,FatBoy,Ab,4
FatBoy/acoustic_grand_piano-mp3/Ab5.mp3,acoustic_grand_piano,FatBoy,Ab,5
FatBoy/acoustic_grand_piano-mp3/Ab6.mp3,acoustic_grand_piano,FatBoy,Ab,6
FatBoy/acoustic_grand_piano-mp3/Ab7.mp3,acoustic_grand_piano,FatBoy,Ab,7
FatBoy/acoustic_grand_piano-mp3/B0.mp3,acoustic_grand_piano,FatBoy,B,0
FatBoy/acoustic_grand_piano-mp3/B1.mp3,acoustic_grand_piano,FatBoy,B,1
FatBoy/acoustic_grand_piano-mp3/B2.mp3,acoustic_grand_piano,FatBoy,B,2
FatBoy/acoustic_grand_piano-mp3/B3.mp3,acoustic_grand_piano,FatBoy,B,3
FatBoy/acoustic_grand_piano-mp3/B4.mp3,acoustic_grand_piano,FatBoy,B,4
FatBoy/acoustic_grand_piano-mp3/B5.mp3,acoustic_grand_piano,FatBoy,B,5
FatBoy/acoustic_grand_piano-mp3/B6.mp3,acoustic_grand_piano,FatBoy,B,6
FatBoy/acoustic_grand_piano-mp3/B7.mp3,acoustic_grand_piano,FatBoy,B,7
FatBoy/acoustic_grand_piano-mp3/Bb0.mp3,acoustic_grand_piano,FatBoy,Bb,0
FatBoy/acoustic_grand_piano-mp3/Bb1.mp3,acoustic_grand_piano,FatBoy,Bb,1
